% 1 %BooleanFeature(HTMLTitle(laptop))  
% 2 %BooleanFeature(Token(availability))  
% 3 %BooleanFeature(Token(laptop))  
% 4 %BooleanFeature(Phrase(Token(product),Token(descriptions,description,specification,specifications)))  
% 5 %BooleanFeature(Token(warranty))  
% 6 %BooleanFeature(Token(manufacturer)) 
@RELATION test
@ATTRIBUTE x0	NUMERIC
@ATTRIBUTE x1	NUMERIC
@ATTRIBUTE x2	NUMERIC
@ATTRIBUTE x3	NUMERIC
@ATTRIBUTE x4	NUMERIC
@ATTRIBUTE x5	NUMERIC
@ATTRIBUTE x6	NUMERIC
@ATTRIBUTE class	{0,1}
@DATA
3696,0,1,0,1,1,1,1
3707,0,1,0,1,1,1,1
3735,0,1,0,0,1,1,1
3751,0,1,1,1,0,1,1
3753,0,0,0,1,1,1,1
3761,0,0,0,1,1,1,1
3776,0,1,0,1,1,1,1
3779,0,0,1,1,1,1,1
3785,0,1,1,0,0,0,1
3844,0,0,0,0,0,0,1
3852,0,0,0,1,1,1,1
3868,0,1,0,1,1,1,1
3869,0,1,0,0,0,1,1
3900,0,1,0,1,1,1,1
3962,0,1,0,0,1,1,1
3964,0,0,0,0,0,0,1
3992,1,1,1,0,1,1,1
4008,0,0,0,0,1,1,1
4011,0,0,0,1,1,1,1
4070,0,1,1,0,1,1,1
4079,0,0,1,0,1,1,1
4086,0,0,0,0,0,0,1
4105,0,1,0,1,1,1,1
4107,0,0,0,0,1,1,1
4112,0,0,0,1,1,1,1
4129,0,0,0,0,0,1,1
4157,0,1,0,0,0,1,1
4158,0,0,1,0,0,0,0
4178,0,1,0,0,1,1,1
4196,0,0,0,1,1,1,1
4197,0,0,0,1,0,1,1
4212,0,0,1,0,0,0,0
4233,0,0,0,1,1,1,1
4236,0,0,0,1,1,1,1
4239,0,0,1,0,0,0,0
4240,0,0,0,1,0,1,1
4265,0,0,1,0,1,1,1
4272,0,0,1,0,0,0,0
4273,0,0,0,0,0,0,1
4300,0,0,1,0,0,0,0
4306,0,0,1,0,1,0,1
4309,0,0,1,1,1,1,1
4322,0,0,0,0,0,0,1
4334,0,0,1,0,0,0,0
4335,0,1,0,1,1,1,1
4342,0,0,0,1,0,1,1
4350,0,0,0,0,0,0,1
4352,0,0,1,0,0,0,0
4384,0,1,0,0,0,1,1
4388,0,0,0,0,0,0,1
4398,0,0,1,0,0,0,0
4411,0,0,0,0,0,0,1
4435,0,0,1,0,0,1,0
4440,0,0,1,0,0,0,0
4476,0,1,1,0,1,1,1
4480,0,0,0,0,1,0,1
4492,0,1,0,1,1,1,1
4497,0,0,1,0,0,0,0
4501,0,0,0,0,0,0,1
4502,0,1,0,0,1,1,1
4551,0,0,1,0,0,0,0
4582,0,0,0,0,0,0,1
4598,0,1,1,0,1,1,1
4601,0,0,0,0,0,0,1
4605,0,0,0,1,1,1,1
4614,0,1,1,0,1,1,1
4621,0,1,0,1,1,1,1
4659,0,1,0,1,1,1,1
4692,0,0,1,0,0,0,0
4695,0,1,0,0,1,1,1
4713,0,1,1,0,1,1,1
4744,0,1,1,0,1,1,1
4748,0,1,0,1,1,1,1
4757,0,1,1,1,1,1,1
4761,0,1,1,0,1,1,1
4763,0,0,0,1,1,1,1
4803,0,0,0,0,0,0,1
4805,0,0,0,1,0,1,1
4811,0,0,1,0,0,0,0
4836,0,1,0,1,1,1,1
4842,0,1,0,1,1,1,1
4845,0,0,0,0,1,1,1
4859,0,0,0,1,1,1,1
4866,0,0,1,0,0,0,0
4870,0,1,1,0,1,1,1
4885,0,1,0,1,0,1,1
4895,0,1,0,1,1,1,1
4939,0,0,1,0,0,0,0
4966,0,0,1,0,0,0,0
4968,0,0,1,0,0,0,0
5046,0,0,1,0,0,0,0
5050,0,0,1,0,0,0,0
5055,0,0,1,0,0,0,0
5067,0,0,1,0,0,0,0
5109,0,0,1,0,0,0,0
5128,0,0,1,0,0,0,0
5138,0,0,1,0,0,0,0
5139,0,0,1,0,0,0,0
5166,0,0,1,0,0,0,0
5188,0,0,1,0,0,0,0
5224,0,0,1,0,0,0,0
5225,0,0,1,0,0,0,0
5298,0,0,1,0,0,1,0
5318,0,0,1,0,0,0,0
5341,0,0,1,0,0,0,0
5344,0,0,1,0,0,0,0
5370,0,0,1,0,0,0,0
5378,0,0,1,0,0,0,0
5421,0,0,1,0,0,0,0
5465,0,0,1,0,0,0,0
5486,0,0,1,0,0,0,0
5516,0,0,1,0,0,0,0
5527,0,0,1,0,0,0,0
5546,0,0,1,0,0,0,0
5558,0,0,1,0,0,0,0
5569,0,0,1,0,0,0,0
5602,0,0,1,0,0,0,0
5621,0,0,1,0,0,0,0
5645,0,0,1,0,0,0,0
5662,0,0,1,0,0,0,0
5722,0,0,1,0,0,0,0
5732,0,0,1,0,0,0,0
5750,0,0,1,0,0,0,0
5769,0,0,1,0,0,0,0
5801,0,0,1,0,0,0,0
5811,0,0,1,0,0,0,0
5836,0,0,1,0,0,0,0
5846,0,0,1,0,0,0,0
5847,0,0,1,0,0,0,0
5855,0,0,1,0,0,0,0
5914,0,0,1,0,0,0,0
5930,0,0,1,0,0,0,0
5936,0,0,1,0,0,0,0
5974,0,0,1,0,0,0,0
5985,0,0,1,0,0,0,0
5990,0,0,1,0,0,0,0
6022,0,0,1,0,0,0,0
6023,0,0,1,0,0,0,0
6026,0,0,1,0,0,0,0
6033,0,0,1,0,0,0,0
6042,0,0,1,0,0,1,0
6044,0,0,1,0,0,0,0
6048,0,0,1,0,0,0,0
6100,0,0,1,0,0,0,0
6118,0,0,1,0,0,0,0
6195,0,0,1,0,0,0,0
6297,0,0,1,0,0,0,0
6299,0,0,1,0,0,1,0
6302,0,0,1,0,0,0,0
6304,0,0,1,0,0,0,0
6329,0,0,1,0,0,0,0
6341,0,0,1,0,0,0,0
6353,0,0,1,0,0,0,0
6365,0,0,1,0,0,0,0
6372,0,0,1,0,0,0,0
6381,0,0,1,0,0,0,0
6396,0,0,1,0,0,0,0
6411,0,0,1,0,0,0,0
6428,0,0,1,0,0,0,0
6457,0,0,1,0,0,0,0
6487,0,0,1,0,0,0,0
6525,0,0,1,0,0,0,0
6536,0,0,1,0,0,0,0
6556,0,0,1,0,0,0,0
6568,0,0,1,0,0,0,0
6572,0,0,1,0,0,0,0
6611,0,0,1,0,0,0,0
6612,0,0,1,0,0,0,0
6642,0,0,1,0,0,1,0
6806,0,0,1,0,0,0,0
6814,0,0,1,0,0,0,0
7306,0,0,1,0,0,1,0
9409,0,0,1,0,0,0,0
9438,0,0,1,0,0,0,0
9448,0,0,1,0,0,0,0
9451,0,0,1,0,0,0,0
9485,0,0,1,0,0,1,0
9488,0,0,1,0,0,1,0
9491,0,0,1,0,0,0,0
9504,0,0,1,0,0,0,0
9532,0,0,1,0,0,0,0
9553,0,0,1,0,0,0,0
9912,0,0,1,0,1,1,1
9975,1,1,1,0,1,0,0
9999,0,0,1,0,1,1,1
10020,0,0,1,0,1,1,1
10025,0,0,1,0,1,1,1
10116,0,0,1,0,1,1,0
10141,0,0,1,0,1,1,1
10179,0,0,1,0,1,1,1
10242,0,0,1,0,1,1,1
10326,0,0,1,0,1,1,1
10333,0,0,1,0,1,1,1
10388,0,0,1,0,1,1,1
10416,0,0,1,0,1,1,1
10446,0,0,1,0,1,1,1
10482,0,0,1,0,1,1,1
10495,0,0,1,0,1,1,1
10517,0,0,1,0,1,1,1
10588,0,0,0,1,0,1,0
10650,0,0,0,1,0,1,0
10657,0,0,0,1,0,1,0
12367,0,1,0,1,1,1,0
12368,0,1,0,1,0,1,0
12386,0,0,0,0,0,0,0
12391,0,0,0,0,0,0,0
12404,0,1,0,0,0,1,0
12406,0,1,0,0,0,0,0
12423,0,0,0,0,0,0,0
12432,0,0,0,0,0,0,0
12433,0,0,1,0,0,0,0
12479,0,0,0,0,1,0,0
12480,0,0,0,0,1,0,0
12507,0,0,0,0,0,0,0
12523,0,0,0,0,1,0,0
12529,0,0,0,1,0,1,0
12555,0,0,0,0,0,0,0
12562,0,0,0,0,0,1,0
12565,0,0,0,0,0,0,0
12585,0,0,1,0,0,0,0
12592,0,0,0,0,0,0,0
12593,0,1,0,1,1,1,0
12598,0,0,0,0,0,0,0
12606,0,0,0,0,1,0,0
12617,0,0,0,0,0,0,0
12639,0,1,0,0,0,0,0
12676,0,0,0,0,0,0,0
12718,0,1,0,0,0,0,0
12728,0,0,0,0,0,0,0
12734,0,0,0,0,0,0,0
12771,0,0,1,0,0,0,0
12772,0,0,1,0,0,0,0
12773,0,0,0,0,0,0,0
12784,0,1,0,0,0,0,0
12833,0,0,1,0,1,0,0
12862,0,0,1,0,0,1,0
12871,1,1,1,0,1,0,0
12885,0,0,0,0,0,0,0
12887,0,0,0,0,0,1,0
12902,0,0,0,0,0,0,0
12911,0,0,0,0,0,0,0
12912,0,0,0,0,0,1,0
12916,0,0,1,0,0,0,0
13133,0,0,1,0,1,1,0
13142,0,0,1,0,1,1,0
13144,0,0,1,0,1,1,0
13147,0,0,1,0,1,1,0
13151,0,0,1,0,1,1,0
13152,0,0,1,0,0,1,0
13153,0,0,1,0,1,1,0
13156,0,0,1,0,1,1,0
13157,0,0,1,0,1,1,0
13158,0,0,1,0,1,1,0
13163,0,0,1,0,1,1,0
13171,0,0,1,0,1,1,0
13172,0,0,1,0,1,1,0
13173,0,0,1,0,1,1,0
13195,0,0,1,0,1,1,0
13204,0,0,1,0,1,1,0
13206,0,0,1,0,1,1,0
13210,0,0,1,0,1,1,0
13300,0,0,1,0,0,0,0
13755,0,1,0,1,1,1,0
13882,0,0,0,0,0,0,0
13990,0,0,0,0,0,0,0
14130,0,0,0,0,0,0,0
14215,0,1,0,0,0,0,0
14237,0,0,0,0,0,0,0
14266,0,1,0,0,1,1,0
14448,0,1,0,1,1,1,0
14503,0,1,0,0,1,0,0
24348,0,0,0,0,0,0,0
24350,0,0,0,0,0,0,0
24362,0,0,0,0,0,0,0
24372,0,0,0,0,0,0,0
24383,0,0,0,0,0,0,0
24396,0,0,0,0,0,0,0
24410,0,0,0,0,0,0,0
24417,0,0,0,0,0,0,0
24422,0,0,0,0,0,0,0
24427,0,0,0,0,0,0,0
24434,0,0,0,0,0,0,0
24436,0,0,0,0,0,0,0
24453,0,0,0,0,0,0,0
24454,0,0,0,0,0,0,0
24464,0,0,0,0,0,0,0
24471,0,0,0,0,0,0,0
24482,0,0,0,0,0,0,0
24487,0,0,0,0,0,0,0
24491,0,0,0,0,0,0,0
24538,0,0,0,0,0,0,0
24541,0,0,0,0,0,0,0
24544,0,1,0,0,0,0,0
24547,0,0,0,0,0,0,0
24553,0,0,0,0,0,0,0
24592,0,0,0,0,0,0,0
24594,0,0,0,0,0,0,0
24595,0,0,0,0,0,0,0
24608,0,0,0,0,0,0,0
24644,0,0,0,0,0,0,0
24648,0,0,0,0,0,0,0
24650,0,0,0,0,0,0,0
24653,0,0,0,0,0,0,0
24662,0,0,0,0,0,0,0
24666,0,0,0,0,0,0,0
24667,0,0,0,0,0,0,0
24670,0,0,0,0,0,0,0
24671,0,0,0,0,0,0,0
24673,0,1,0,0,0,0,0
24674,0,0,0,0,0,0,0
24684,0,0,0,0,0,0,0
24693,0,0,0,0,0,0,0
24709,0,0,0,0,0,0,0
24712,0,0,0,0,0,0,0
24715,0,0,0,0,0,0,0
24716,0,0,0,0,0,0,0
24718,0,0,0,0,0,0,0
24721,0,0,0,0,0,0,0
24725,0,0,0,0,0,0,0
24726,0,0,0,0,0,0,0
24729,0,0,0,0,0,0,0
24766,0,0,0,0,0,0,0
24768,0,0,0,0,0,0,0
24779,0,0,0,0,0,0,0
24795,0,0,0,0,0,0,0
24803,0,0,0,0,0,0,0
24820,0,1,0,0,0,0,0
24824,0,0,0,0,0,0,0
24832,0,0,0,0,0,0,0
24837,0,0,0,0,0,0,0
24855,0,0,0,0,0,0,0
24874,0,0,0,0,0,0,0
24895,0,0,0,0,0,0,0
25020,0,0,0,0,0,0,0
25392,0,0,0,0,0,0,0
25868,0,0,0,0,0,0,0
26000,0,0,0,0,0,0,0
26046,0,0,0,0,0,0,0
26210,0,0,0,0,0,0,0
26243,0,0,0,0,0,0,0
26270,0,0,0,0,0,0,0
26407,0,0,0,0,0,0,0
26528,0,0,0,0,0,0,0
26785,0,0,0,0,0,0,0
26944,0,0,0,0,0,0,0
27020,0,0,0,0,0,0,0
27071,0,0,0,0,0,0,0
27153,0,0,0,0,0,0,0
27619,0,0,0,0,0,0,0
27933,0,0,0,0,0,0,0
28117,0,0,0,0,0,0,0
28152,0,0,0,0,0,0,0
28247,0,0,0,0,0,0,0
28311,0,0,0,0,0,0,0
28341,0,0,0,0,0,0,0
28369,0,0,0,0,0,0,0
28385,0,0,0,0,0,0,0
28454,0,0,0,0,0,0,0
28467,0,0,0,0,0,0,0
28497,0,0,0,0,0,0,0
28514,0,0,0,0,0,0,0
28553,0,0,0,0,0,0,0
28574,0,0,0,0,0,0,0
28615,0,0,0,0,0,0,0
28712,0,0,0,0,0,0,0
29325,0,0,0,0,0,0,0
29576,0,0,0,0,0,0,0
29749,0,0,0,0,0,0,0
29989,0,0,0,0,0,0,0
