% 1  %DivideBy(%CountNumber(Proximity(Number_body(_range(0,3)),Phrase(Token(optical),Token(zoom)),-4,3)),%CountNumber(Proximity(Number_body(),Phrase(Token(optical),Token(zoom)),-4,3))) %BooleanFeature(Phrase(Number_title(_range(0,3)),HTMLTitle(x)))
@RELATION test
@ATTRIBUTE x0	NUMERIC
@ATTRIBUTE x1	NUMERIC
@ATTRIBUTE x2	NUMERIC
@ATTRIBUTE class	{0,1}
@DATA
2632,1.0000,0,1
724,1.0000,0,1
2636,1.0000,0,1
1213,1.0000,0,1
3109,0.0000,0,0
1905,1.0000,0,1
282,1.0000,0,1
3528,1.0000,0,1
2199,1.0000,0,1
21,0.5000,0,0
562,1.0000,0,1
23,0.0000,0,0
261,0.0000,0,1
3278,0.0000,0,0
3821,0.3333,0,0
797,0.0000,0,0
3321,0.7500,0,1
45,0.1111,0,0
772,1.0000,0,1
291,0.0000,0,0
292,1.0000,0,0
294,0.3333,0,0
52,1.0000,0,1
2964,0.0000,0,0
3308,0.0000,0,0
3767,0.0000,0,0
3765,0.5000,0,0
3221,0.0000,0,0
1574,0.0000,0,0
3040,0.3333,0,0
893,1.0000,0,1
3771,0.0000,0,0
344,0.0000,0,0
3474,1.0000,0,1
4212,1.0000,0,1
87,0.3333,0,0
4023,0.0000,0,0
2254,0.0000,0,0
1832,0.0000,0,0
3211,0.3333,0,0
1066,0.5000,0,0
3251,1.0000,0,1
3735,0.0000,0,0
3494,0.0000,0,0
585,0.0000,0,0
1812,0.0000,0,0
4174,1.0000,0,1
1057,0.0000,0,0
379,0.0000,0,0
1538,0.2500,0,0
2559,1.0000,0,1
837,1.0000,0,0
3024,1.0000,0,1
602,0.0000,0,0
1794,0.0000,0,0
4185,0.3333,0,0
1793,0.5000,0,1
606,0.0000,0,1
2032,1.0000,0,1
3165,1.0000,0,1
411,1.0000,0,1
139,0.0000,0,0
953,1.0000,0,0
678,0.0000,0,0
2621,1.0000,0,1
401,1.0000,0,1
3940,1.0000,0,1
135,0.0000,0,0
405,0.3333,0,0
2598,1.0000,0,1
2599,1.0000,0,1
2019,0.1429,0,0
3688,1.0000,0,1
2597,0.0000,0,0
3692,0.5000,0,0
3416,0.0000,0,0
690,0.0000,0,0
2338,1.0000,0,1
2583,1.0000,0,1
3913,0.0000,0,0
2582,1.0000,0,1
2577,0.0000,0,0
2578,0.0000,0,0
2589,0.0000,0,0
3667,1.0000,0,1
3424,0.0000,0,0
2584,1.0000,0,1
669,1.0000,0,1
3929,0.0000,0,0
3181,0.2500,0,0
429,0.0000,0,0
906,1.0000,0,1
1749,0.0000,0,0
188,0.0000,0,0
1988,1.0000,0,1
2573,1.0000,0,1
901,0.0000,0,0
1513,1.0000,0,1
2568,0.0000,0,0
420,0.0000,0,0
2570,0.0000,0,0
422,1.0000,0,1
3169,0.5000,0,0
207,0.0000,0,0
3881,0.0000,0,0
1428,1.0000,0,0
3331,0.0000,0,1
1163,0.8000,0,1
3334,0.6667,0,0
3874,1.0000,0,1
761,1.0000,0,1
1955,0.1250,0,0
754,0.2500,0,0
215,0.0000,0,0
1181,0.0000,0,0
449,0.0000,0,0
999,0.0000,0,0
508,0.0000,0,0
3129,1.0000,0,1
236,0.3333,0,0
976,1.0000,0,1
503,0.0000,0,0
1206,0.0000,0,0
3592,0.0000,0,0
3119,1.0000,0,1
973,0.0000,0,0
248,0.0000,0,0
2630,0.0000,0,0
2632,0.0000,0,0
724,0.0000,0,0
2636,0.0000,0,0
1213,0.5000,0,0
3109,0.0000,0,1
1905,0.0000,0,0
282,0.3333,0,0
3528,0.0000,0,0
2199,0.2500,0,0
21,0.5000,0,1
562,0.0000,0,0
23,0.0000,0,1
261,0.0000,0,0
3278,0.8333,0,1
3821,0.0000,0,0
797,0.0000,0,0
3321,0.0000,0,0
45,0.0000,0,0
772,0.0000,0,0
291,0.2500,0,0
292,0.0000,0,0
294,1.0000,0,1
52,0.0000,0,0
2964,1.0000,0,1
3308,0.0000,0,0
3767,0.0000,0,0
3765,0.0000,0,0
3221,0.5000,0,1
1574,0.0000,0,0
3040,0.6667,0,0
893,0.0000,0,0
3771,1.0000,0,1
344,0.3333,0,0
3474,0.0000,0,0
4212,0.3333,0,0
87,0.0000,0,0
4023,1.0000,0,1
2254,0.0000,0,0
1832,0.0000,0,0
3211,0.6667,0,1
1066,0.0000,0,0
3251,0.2500,0,0
3735,0.3333,0,0
3494,0.0000,0,0
585,0.0000,0,0
1812,0.0000,0,0
4174,0.0000,0,0
1057,0.0000,0,0
379,0.0000,0,0
1538,0.0000,0,0
2559,0.0000,0,0
837,0.0000,0,0
3024,0.0000,0,0
602,0.5000,0,0
1794,1.0000,0,1
4185,1.0000,0,1
1793,0.0000,0,0
606,0.0000,0,0
2032,0.0000,0,0
3165,0.0000,0,0
411,0.5000,0,0
139,0.0000,0,0
953,0.0000,0,0
678,0.0000,0,0
2621,0.0000,0,0
401,0.0000,0,0
3940,0.0000,0,0
135,1.0000,0,0
405,0.0000,0,0
2598,0.0000,0,0
2599,0.0000,0,0
2019,0.0000,0,0
3688,0.0000,0,0
2597,0.0000,0,0
3692,1.0000,0,1
3416,0.0000,0,0
690,0.0000,0,0
2338,0.0000,0,0
2583,0.0000,0,0
3913,0.0000,0,0
2582,0.0000,0,0
2577,0.0000,0,0
2578,0.0000,0,0
2589,0.3333,0,0
3667,0.0000,0,0
3424,1.0000,0,1
2584,0.0000,0,0
669,0.3333,0,0
3929,1.0000,0,1
3181,0.0000,0,0
429,0.0000,0,0
906,0.2500,0,0
1749,0.0000,0,0
188,0.0000,0,0
1988,0.0000,0,0
2573,0.0000,0,0
901,0.0000,0,0
1513,0.2000,0,0
2568,1.0000,0,1
420,0.0000,0,0
2570,0.0000,0,0
422,0.5000,0,0
3169,1.0000,0,1
207,0.0000,0,0
3881,0.0000,0,0
1428,0.0000,0,0
3331,0.0000,0,0
1163,0.0000,0,0
3334,1.0000,0,1
3874,0.0000,0,0
761,0.0000,0,0
1955,0.0000,0,0
754,0.7500,0,1
215,0.0000,0,0
1181,0.0000,0,0
449,0.0000,0,0
999,0.0000,0,0
508,0.0000,0,1
3129,0.0000,0,0
236,0.0000,0,0
976,0.0000,0,0
503,0.0000,0,0
1206,0.0000,0,0
3592,0.0833,0,0
3119,0.0000,0,0
973,0.0000,0,0
248,1.0000,0,1
2630,0.0000,0,0
2632,0.0000,0,0
724,0.0000,0,0
2636,0.0000,0,0
1213,0.5000,0,0
3109,0.0000,0,0
1905,0.0000,0,0
282,0.0000,0,0
3528,0.0000,0,0
2199,0.0000,0,0
21,0.0000,0,0
562,0.0000,0,0
23,0.0000,0,0
261,0.0000,0,0
3278,0.1667,0,0
3821,0.0000,0,0
797,0.1667,0,0
3321,0.0000,0,0
45,0.1111,0,0
772,0.2500,0,0
291,0.0000,0,0
292,0.0000,0,0
294,0.0000,0,0
52,0.0000,0,0
2964,0.0000,0,0
3308,0.0000,0,1
3767,0.0000,0,0
3765,0.0000,0,0
3221,0.0000,0,0
1574,0.0000,0,0
3040,0.0000,0,0
893,0.0000,0,0
3771,1.0000,0,0
344,1.0000,0,1
3474,0.0000,0,0
4212,0.0000,0,0
87,0.0000,0,0
4023,0.0000,0,0
2254,0.5000,0,0
1832,0.0000,0,0
3211,0.0000,0,0
1066,0.0000,0,0
3251,0.0000,0,0
3735,0.0000,0,0
3494,0.0000,0,0
585,1.0000,0,1
1812,0.0000,0,0
4174,0.0000,0,0
1057,0.0000,0,0
379,1.0000,0,0
1538,0.0000,0,0
2559,0.0000,0,0
837,1.0000,0,1
3024,0.0000,0,0
602,0.0000,0,0
1794,0.0000,0,0
4185,0.0000,0,0
1793,0.5000,0,0
606,0.0000,0,0
2032,0.0000,0,0
3165,0.0000,0,0
411,0.0000,0,0
139,1.0000,0,1
953,1.0000,0,1
678,0.2000,0,0
2621,1.0000,0,0
401,0.0000,0,0
3940,0.0000,0,0
135,0.0000,0,0
405,0.6667,0,1
2598,0.0000,0,0
2599,0.0000,0,0
2019,0.0000,0,0
3688,0.0000,0,0
2597,0.0000,0,0
3692,0.0000,0,0
3416,0.0000,0,0
690,0.0000,0,1
2338,0.0000,0,0
2583,0.0000,0,0
3913,1.0000,0,1
2582,0.0000,0,0
2577,0.0000,0,0
2578,0.0000,0,0
2589,0.0000,0,0
3667,0.0000,0,0
3424,0.0000,0,0
2584,0.0000,0,0
669,0.0000,0,0
3929,0.0000,0,0
3181,0.0000,0,0
429,0.0000,0,0
906,0.2500,0,0
1749,0.0000,0,0
188,0.0000,0,1
1988,0.0000,0,0
2573,0.0000,0,0
901,0.0000,0,1
1513,0.0000,0,0
2568,0.0000,0,0
420,0.0000,0,0
2570,0.0000,0,0
422,0.0000,0,0
3169,0.0000,0,0
207,1.0000,0,1
3881,0.0000,0,0
1428,0.0000,0,0
3331,0.0000,0,0
1163,0.0000,0,0
3334,0.0000,0,0
3874,0.0000,0,0
761,0.0000,0,0
1955,0.0000,0,0
754,0.0000,0,0
215,1.0000,0,1
1181,0.0000,0,0
449,0.0000,0,0
999,0.5000,0,0
508,0.0000,0,0
3129,0.0000,0,0
236,1.0000,0,1
976,0.0000,0,0
503,0.5000,0,0
1206,0.0000,0,0
3592,0.9167,0,1
3119,0.0000,0,0
973,0.0000,0,0
248,0.0000,0,0
2630,0.0000,0,0
2632,0.0000,0,0
724,0.0000,0,0
2636,0.0000,0,0
1213,0.5000,0,0
3109,0.0000,0,0
